battery_current_A,battery_voltage_V,state_of_charge_percent,ambient_temperature_C,battery_temperature_C,coolant_inlet_temperature_C,coolant_flow_rate_kg_s,coolant_pressure_Pa,nanoparticle_concentration_percent,reynolds_number,heat_transfer_coefficient_W_m2K,microchannel_width_mm,microchannel_height_mm,discharge_rate_C,max_battery_temperature_C,temperature_rise_C,thermal_risk_score,thermal_risk_label,hotspot_risk_score
3.976,3.563,50.49,29.54,32.1,22.73,0.02737,153231.0,2.253,8000.0,20743.44,0.951,0.708,1.154,32.34,2.8,0.0,NORMAL,0.0
2.647,4.106,57.92,23.25,26.23,23.62,0.02445,182915.6,3.555,8000.0,20834.4,0.831,0.676,0.582,24.19,0.94,0.0,NORMAL,0.0
4.782,3.974,15.88,29.75,33.87,22.03,0.02929,113065.1,1.847,8000.0,20758.84,0.459,0.342,0.707,32.92,3.17,0.0,NORMAL,0.0
1.704,3.488,82.55,25.82,26.9,19.79,0.03856,113375.1,4.63,8000.0,21065.73,0.475,0.468,0.863,26.94,1.12,0.0,NORMAL,0.0
4.34,3.864,21.17,28.97,32.82,19.82,0.02037,199134.5,4.016,8000.0,20958.44,0.643,0.719,1.236,31.5,2.53,0.0,NORMAL,0.0
8.856,3.202,84.87,25.76,32.89,28.22,0.02957,87480.1,2.508,8000.0,20812.64,0.686,0.581,1.176,27.09,1.33,0.0,NORMAL,0.0
3.986,3.733,38.99,21.6,26.87,20.3,0.03602,138584.5,3.56,8000.0,20945.83,0.631,0.256,0.989,22.0,0.0,0.0,NORMAL,0.0
8.157,4.118,49.96,30.11,36.31,34.05,0.00941,191421.4,1.557,8000.0,20685.58,0.675,0.684,3.245,38.34,8.23,23.52,NORMAL,18.99
11.418,3.818,68.74,36.52,48.83,36.85,0.01465,145943.1,2.464,8000.0,20780.56,0.995,0.429,4.921,48.39,11.88,71.46,HIGH,57.85
8.642,4.109,64.49,26.62,34.09,25.83,0.01408,149622.4,2.858,8000.0,20627.94,0.592,0.266,1.691,30.56,3.94,0.0,NORMAL,6.9
7.956,3.276,60.92,33.45,40.76,29.95,0.01779,112193.9,1.416,8000.0,20594.4,0.579,0.47,1.006,38.87,5.42,23.48,NORMAL,16.53
6.947,3.734,46.01,27.96,34.24,25.58,0.01645,168138.4,4.228,8000.0,20835.96,0.848,0.233,1.583,30.38,2.41,0.0,NORMAL,0.52
12.222,3.884,53.19,40.07,52.46,30.28,0.01016,195416.3,2.762,8000.0,20873.01,0.914,0.243,3.929,54.21,14.15,100.0,CRITICAL,71.22
1.218,3.233,15.9,23.71,26.1,18.77,0.03477,135884.3,2.308,8000.0,20651.61,0.509,0.432,1.385,23.71,0.0,0.0,NORMAL,0.0
2.979,4.066,24.59,26.05,27.57,24.98,0.03244,183881.0,1.577,8000.0,20576.35,0.915,0.692,0.981,27.2,1.16,0.0,NORMAL,0.0
4.482,3.456,75.95,30.16,34.82,23.34,0.02125,84165.9,4.441,8000.0,20915.18,0.894,0.239,1.769,32.84,2.69,0.0,NORMAL,2.96
7.192,4.065,70.5,25.44,31.46,24.64,0.02326,180975.8,1.543,8000.0,20770.35,0.499,0.454,2.112,29.56,4.11,0.0,NORMAL,6.24
4.956,3.48,40.31,28.29,30.95,23.81,0.03976,194932.4,0.619,8000.0,20696.49,0.47,0.544,1.04,30.83,2.54,0.0,NORMAL,0.0
4.69,4.181,81.31,30.91,36.59,29.53,0.02306,182014.8,0.433,8000.0,20531.3,0.79,0.726,1.871,34.4,3.49,4.34,NORMAL,3.98
2.968,4.087,82.55,20.77,25.44,20.51,0.03469,90507.0,4.304,8000.0,20961.24,0.813,0.547,0.979,22.0,0.0,0.0,NORMAL,0.0
10.136,4.056,57.48,38.03,48.14,33.76,0.00586,156354.7,1.597,8000.0,20653.88,0.809,0.516,4.364,51.71,13.68,93.35,CRITICAL,66.39
1.533,3.887,98.19,24.76,25.19,22.88,0.01773,88938.4,3.236,8000.0,20867.71,0.324,0.471,0.642,24.76,0.0,0.0,NORMAL,0.0
1.632,3.601,33.99,21.55,24.41,18.23,0.01609,88129.4,4.969,8000.0,20840.85,0.784,0.528,1.093,22.0,0.0,0.0,NORMAL,0.0
2.726,3.658,36.53,23.65,25.35,21.04,0.03984,89279.1,1.315,8000.0,20723.88,0.96,0.552,1.045,24.68,1.03,0.0,NORMAL,0.0
3.304,3.787,10.84,29.19,30.61,21.84,0.03453,97149.3,3.163,8000.0,20814.08,0.549,0.781,0.983,29.52,0.33,0.0,NORMAL,0.0
3.549,3.467,23.49,29.33,31.21,21.48,0.03752,144321.8,2.731,8000.0,20729.15,0.405,0.481,0.501,29.68,0.35,0.0,NORMAL,0.0
3.427,3.456,83.62,24.5,29.75,24.62,0.01665,169595.3,0.337,8000.0,20485.51,0.732,0.303,0.761,25.64,1.14,0.0,NORMAL,0.0
3.496,3.685,66.63,28.73,33.15,20.35,0.02195,99550.7,1.728,8000.0,20702.46,0.417,0.447,0.791,30.46,1.72,0.0,NORMAL,0.0
1.924,3.729,27.11,24.98,28.1,21.47,0.0369,80795.6,0.637,8000.0,20676.79,0.451,0.59,1.436,25.48,0.5,0.0,NORMAL,0.0
2.395,3.997,70.96,26.12,28.16,21.75,0.03209,131175.2,1.21,8000.0,20727.6,0.34,0.38,1.112,26.4,0.29,0.0,NORMAL,0.0
1.107,3.945,24.72,20.76,21.0,24.64,0.03366,131050.0,4.295,8000.0,20872.62,0.484,0.671,1.474,22.0,0.0,0.0,NORMAL,0.0
2.358,3.825,46.6,25.35,27.08,20.01,0.03772,132576.7,1.654,8000.0,20720.73,0.741,0.736,0.822,25.35,0.0,0.0,NORMAL,0.0
3.775,3.854,99.83,21.75,25.26,21.71,0.01889,146873.9,0.138,8000.0,20449.13,0.46,0.56,0.605,22.0,0.0,0.0,NORMAL,0.0
4.378,4.072,38.47,29.99,35.67,23.51,0.02834,196603.0,4.434,8000.0,20887.75,0.684,0.764,1.123,31.06,1.07,0.0,NORMAL,0.0
1.255,3.258,71.13,28.09,29.57,18.16,0.02824,113930.9,4.613,8000.0,20951.07,0.841,0.263,1.258,28.1,0.01,0.0,NORMAL,0.0
1.809,3.771,10.55,23.7,25.96,21.57,0.03096,148420.5,2.715,8000.0,20805.86,0.623,0.43,1.441,23.7,0.0,0.0,NORMAL,0.0
9.931,3.26,36.96,37.8,45.95,32.74,0.00642,181176.7,1.766,8000.0,20716.7,0.909,0.252,2.647,52.43,14.64,87.65,CRITICAL,63.75
11.645,3.31,37.51,38.26,48.3,39.22,0.00743,132196.0,4.066,8000.0,20922.94,0.447,0.552,3.909,53.25,15.0,100.0,CRITICAL,74.26
14.235,3.676,85.42,44.91,55.0,33.81,0.00814,81786.4,0.495,8000.0,20433.85,0.983,0.631,4.929,65.0,23.04,100.0,CRITICAL,77.42
7.491,3.592,25.34,25.16,29.73,26.25,0.01022,122216.0,3.065,8000.0,20852.93,0.449,0.284,2.491,29.71,4.55,0.0,NORMAL,7.37
7.344,3.934,38.99,34.14,41.31,24.4,0.02194,164423.1,0.738,8000.0,20742.85,0.758,0.223,1.966,38.93,4.79,22.81,NORMAL,21.77
3.364,4.019,24.67,27.5,33.27,18.49,0.03449,102414.3,4.299,8000.0,20978.05,0.678,0.78,1.016,28.38,0.88,0.0,NORMAL,0.0
9.012,3.99,52.88,39.6,49.49,31.64,0.01433,159979.3,3.836,8000.0,20977.3,0.497,0.713,2.647,48.75,9.15,80.11,CRITICAL,53.75
12.62,3.78,34.48,31.63,43.55,32.66,0.01794,86244.6,4.499,8000.0,21002.57,0.446,0.314,2.599,41.25,9.62,40.91,CAUTION,35.74
10.258,3.206,26.03,33.95,44.47,32.7,0.01902,160540.1,4.835,8000.0,21051.97,0.358,0.451,2.823,41.37,7.42,40.05,CAUTION,24.72
12.575,3.223,48.84,39.72,51.45,32.59,0.01415,140003.7,3.985,8000.0,20786.89,0.855,0.234,3.094,53.64,13.91,100.0,CRITICAL,65.01
4.357,3.39,52.56,26.59,30.97,22.63,0.03856,164312.8,1.337,8000.0,20568.62,0.415,0.383,0.615,27.22,0.63,0.0,NORMAL,0.0
12.22,3.468,37.81,34.25,46.34,33.43,0.01533,83336.0,3.092,8000.0,20904.75,0.743,0.331,2.949,44.57,10.32,60.89,HIGH,54.97
7.471,3.661,97.02,34.07,41.87,28.08,0.01988,194248.0,4.683,8000.0,21037.7,0.432,0.472,3.54,41.24,7.16,39.84,CAUTION,43.67
2.059,3.58,23.1,24.65,24.73,21.78,0.01567,149624.2,0.952,8000.0,20571.45,0.687,0.291,0.723,24.97,0.33,0.0,NORMAL,0.0
13.247,3.351,74.25,39.16,52.63,34.78,0.01486,160234.7,0.957,8000.0,20612.19,0.37,0.795,3.74,53.17,14.01,100.0,CRITICAL,69.37
4.192,3.296,57.46,22.87,26.13,19.87,0.03559,177846.4,3.737,8000.0,20950.68,0.56,0.267,1.33,23.92,1.05,0.0,NORMAL,0.0
13.279,3.222,44.62,41.82,53.6,33.07,0.01274,85916.9,3.142,8000.0,20840.13,0.758,0.636,3.885,56.87,15.05,100.0,CRITICAL,74.85
9.906,3.269,70.67,39.9,48.72,29.0,0.00722,99193.8,2.259,8000.0,20805.92,0.868,0.386,2.357,52.34,12.44,90.61,CRITICAL,63.96
4.992,3.201,23.83,21.6,25.98,23.32,0.03237,98925.0,0.453,8000.0,20519.14,0.957,0.732,0.69,22.0,0.0,0.0,NORMAL,0.0
6.635,3.232,93.71,34.83,41.57,26.85,0.02242,98888.8,3.808,8000.0,20969.37,0.91,0.233,1.058,37.49,2.66,19.75,NORMAL,1.05
2.285,3.647,84.98,28.99,32.68,18.62,0.02116,90470.2,1.692,8000.0,20695.69,0.467,0.693,1.053,30.09,1.1,0.0,NORMAL,2.42
7.643,3.876,76.96,38.97,46.72,28.84,0.01861,190402.2,4.549,8000.0,20879.52,0.437,0.348,2.501,44.81,5.84,54.93,HIGH,46.31
12.904,3.619,96.24,38.33,50.63,33.62,0.00629,121812.1,2.977,8000.0,20954.09,0.481,0.72,2.232,55.38,17.05,100.0,CRITICAL,76.44
4.39,3.463,94.67,27.62,32.28,28.14,0.02815,93640.9,3.773,8000.0,21042.82,0.981,0.522,2.202,28.9,1.28,0.0,NORMAL,0.0
12.339,3.816,28.17,35.6,46.25,33.5,0.01016,165476.2,0.906,8000.0,20549.13,0.988,0.237,3.559,51.18,15.58,94.12,CRITICAL,70.91
3.719,3.832,89.79,25.75,30.95,22.33,0.02674,123998.0,3.38,8000.0,20808.25,0.99,0.28,1.492,26.56,0.81,0.0,NORMAL,0.0
3.04,3.911,81.21,22.61,24.25,20.74,0.03947,104665.0,4.841,8000.0,21041.91,0.785,0.64,0.83,22.61,0.0,0.0,NORMAL,0.0
3.718,3.484,49.04,25.67,28.09,18.56,0.03394,191445.2,1.119,8000.0,20601.58,0.597,0.499,1.39,26.59,0.92,0.0,NORMAL,0.0
2.422,4.156,57.82,27.12,29.31,20.22,0.02759,181704.3,3.704,8000.0,20868.84,0.881,0.732,0.661,28.66,1.54,0.0,NORMAL,0.0
1.259,3.372,60.59,29.97,31.54,19.41,0.03369,151020.8,2.037,8000.0,20814.31,0.907,0.447,1.429,32.52,2.55,0.0,NORMAL,0.0
4.954,4.163,56.62,26.31,31.13,19.21,0.01606,139703.9,0.502,8000.0,20453.84,0.507,0.769,1.466,28.27,1.96,0.0,NORMAL,0.0
3.709,3.833,48.2,29.07,34.1,22.12,0.02293,92283.6,4.474,8000.0,20901.05,0.502,0.359,0.676,31.05,1.98,0.0,NORMAL,0.0
4.999,3.472,66.02,28.0,32.45,24.14,0.03188,137726.4,2.174,8000.0,20717.83,0.989,0.392,1.424,30.79,2.8,0.0,NORMAL,0.0
10.042,3.399,84.12,31.24,39.99,31.4,0.01402,129542.9,1.733,8000.0,20684.42,0.722,0.504,3.419,39.31,8.07,24.12,NORMAL,23.45
2.1,3.432,95.8,27.84,30.61,24.49,0.0241,140444.2,3.959,8000.0,21011.17,0.999,0.342,1.32,28.73,0.89,0.0,NORMAL,0.0
9.218,3.846,69.94,31.08,41.37,28.56,0.01242,128596.3,0.064,8000.0,20585.6,0.746,0.392,2.333,38.36,7.28,22.09,NORMAL,18.75
3.874,4.158,95.2,27.95,32.52,24.68,0.03733,143825.0,2.949,8000.0,20742.11,0.995,0.373,1.049,28.6,0.65,0.0,NORMAL,0.0
2.79,4.068,96.63,20.89,23.62,20.84,0.03144,148424.6,0.264,8000.0,20559.0,0.665,0.781,0.731,22.0,0.0,0.0,NORMAL,0.0
7.425,4.181,68.53,31.67,38.45,24.29,0.01316,90143.6,4.709,8000.0,20923.61,0.87,0.656,1.908,37.83,6.17,21.29,NORMAL,14.13
2.511,3.522,35.48,28.24,31.77,22.7,0.03112,105155.8,4.497,8000.0,21063.45,0.651,0.267,1.182,29.24,0.99,0.0,NORMAL,0.0
3.013,3.588,56.67,20.4,21.87,18.45,0.01851,134877.3,3.24,8000.0,20794.47,0.939,0.274,0.701,22.0,0.0,0.0,NORMAL,0.0
5.597,3.947,91.37,32.88,37.49,22.99,0.01223,188380.1,2.636,8000.0,20685.31,0.542,0.684,1.173,37.87,4.99,18.95,NORMAL,21.71
2.079,3.45,21.43,22.02,22.98,24.97,0.02191,192724.5,3.897,8000.0,20977.82,0.669,0.536,0.514,22.49,0.46,0.0,NORMAL,0.0
2.346,3.537,76.82,22.11,26.18,21.92,0.02073,148089.7,3.525,8000.0,20707.48,0.426,0.323,0.996,22.27,0.16,0.0,NORMAL,0.0
6.003,3.486,95.15,33.97,42.14,23.73,0.02426,148745.4,2.141,8000.0,20670.59,0.865,0.477,2.392,38.71,4.74,24.89,NORMAL,12.0
2.896,3.608,74.6,23.05,27.45,22.64,0.01573,143882.1,0.807,8000.0,20375.31,0.523,0.777,1.298,23.05,0.0,0.0,NORMAL,1.22
8.939,3.972,95.34,34.81,43.05,32.72,0.01047,114923.4,4.211,8000.0,20963.86,0.307,0.648,2.646,42.11,7.3,41.95,CAUTION,37.27
3.382,3.209,75.01,22.44,23.81,21.45,0.0364,134719.4,3.455,8000.0,20770.73,0.449,0.588,0.544,22.44,0.0,0.0,NORMAL,0.0
13.094,3.226,98.77,39.88,52.65,30.15,0.01127,148387.9,1.57,8000.0,20761.2,0.933,0.657,4.238,55.84,15.96,100.0,CRITICAL,68.82
10.2,3.204,96.49,35.02,43.64,29.65,0.01619,183944.3,2.169,8000.0,20807.21,0.602,0.769,2.192,41.59,6.57,42.86,CAUTION,41.97
10.273,3.839,66.48,43.03,53.6,36.88,0.00741,121360.7,3.647,8000.0,20820.86,0.389,0.555,4.73,59.19,16.16,100.0,CRITICAL,79.88
7.03,3.567,64.01,37.21,44.43,30.75,0.01689,105046.1,3.173,8000.0,20993.24,0.729,0.639,2.93,43.11,5.9,44.65,CAUTION,37.5
2.404,3.671,90.72,28.41,32.01,20.88,0.01968,97830.9,4.595,8000.0,20886.29,0.958,0.486,0.539,30.36,1.95,0.0,NORMAL,0.0
6.982,3.666,79.33,25.05,31.69,27.04,0.01757,118023.5,0.148,8000.0,20427.47,0.815,0.674,1.863,27.78,2.73,0.0,NORMAL,4.86
4.628,3.403,63.81,24.41,29.01,18.83,0.02657,140662.0,3.141,8000.0,20772.17,0.748,0.592,1.055,25.4,0.99,0.0,NORMAL,0.0
11.759,3.991,74.26,38.85,51.47,31.28,0.01921,198170.2,1.922,8000.0,20704.03,0.733,0.465,3.623,50.66,11.81,87.1,CRITICAL,68.0
7.262,3.387,16.35,26.68,34.06,24.09,0.02161,103471.1,1.445,8000.0,20702.29,0.655,0.77,2.465,30.74,4.06,0.0,NORMAL,7.08
4.221,3.884,95.97,25.86,29.43,24.14,0.03425,85863.7,4.499,8000.0,21076.16,0.595,0.382,1.45,26.25,0.39,0.0,NORMAL,0.0
12.733,3.939,48.25,40.17,51.49,30.54,0.00605,112521.6,2.146,8000.0,20726.17,0.493,0.753,4.515,62.0,21.83,100.0,CRITICAL,79.08
4.935,3.455,18.07,29.16,34.28,19.89,0.01656,153206.5,2.118,8000.0,20685.33,0.68,0.32,1.456,31.9,2.73,0.0,NORMAL,0.0
8.508,3.909,44.1,25.89,34.33,29.04,0.01683,194519.1,1.389,8000.0,20634.51,0.364,0.684,1.677,29.63,3.73,0.0,NORMAL,0.0
6.59,3.417,56.26,27.9,34.49,27.85,0.01225,161117.0,3.723,8000.0,20930.82,0.316,0.522,1.786,31.95,4.04,0.0,NORMAL,0.0
3.473,3.726,99.7,26.01,29.74,18.46,0.02236,174381.1,2.207,8000.0,20642.87,0.717,0.548,0.938,26.23,0.23,0.0,NORMAL,0.0
8.735,3.917,64.0,29.17,38.88,29.9,0.01752,154173.0,1.969,8000.0,20643.66,0.535,0.345,1.744,33.22,4.06,0.0,NORMAL,0.0
11.777,3.346,14.08,30.96,42.21,33.55,0.01227,195607.7,3.461,8000.0,20996.49,0.859,0.479,3.216,41.83,10.87,41.8,CAUTION,46.74
4.989,3.877,16.5,27.44,32.0,20.62,0.02757,150499.5,3.094,8000.0,20744.47,0.84,0.467,1.365,29.28,1.84,0.0,NORMAL,3.41
7.216,3.333,46.71,32.49,40.25,22.91,0.02007,161361.2,4.97,8000.0,20899.53,0.903,0.706,1.341,36.32,3.82,10.27,NORMAL,0.0
1.865,3.271,87.79,28.82,30.67,20.61,0.03528,198040.2,1.553,8000.0,20789.65,0.64,0.638,0.645,29.87,1.05,0.0,NORMAL,0.0
7.318,3.549,42.42,34.1,40.86,24.09,0.02652,146933.3,4.669,8000.0,20999.96,0.896,0.514,2.171,37.14,3.04,17.45,NORMAL,4.85
2.447,3.418,98.6,27.33,30.75,23.18,0.03475,108424.3,2.519,8000.0,20851.75,0.762,0.703,1.277,29.37,2.04,0.0,NORMAL,0.0
11.158,3.349,11.29,37.89,48.43,37.54,0.01054,193940.3,0.138,8000.0,20389.99,0.946,0.626,4.884,54.72,16.83,100.0,CRITICAL,72.05
10.595,3.458,59.26,39.25,47.96,34.19,0.00892,146137.4,3.586,8000.0,20977.12,0.626,0.789,3.738,51.8,12.56,93.27,CRITICAL,61.67
2.2,3.962,97.9,24.41,27.73,20.04,0.0231,176937.1,1.927,8000.0,20410.78,0.772,0.327,1.351,25.74,1.33,0.0,NORMAL,0.0
3.675,4.061,53.5,30.0,35.15,21.69,0.03253,128308.9,4.393,8000.0,20936.28,0.474,0.414,0.631,30.76,0.76,0.0,NORMAL,0.0
6.053,4.137,55.7,32.5,40.28,27.95,0.02596,195277.1,2.057,8000.0,20843.48,0.864,0.574,1.832,35.64,3.14,3.93,NORMAL,1.85
8.926,4.151,38.75,33.11,40.16,27.2,0.02559,174562.4,0.593,8000.0,20666.87,0.813,0.745,1.1,38.52,5.42,27.2,CAUTION,18.15
1.359,3.829,82.02,26.05,27.64,21.04,0.01993,156078.5,3.379,8000.0,20907.61,0.75,0.619,1.251,26.13,0.08,0.0,NORMAL,0.0
3.17,3.894,93.72,24.13,25.5,23.4,0.01922,171871.5,1.715,8000.0,20802.53,0.403,0.541,1.376,24.21,0.08,0.0,NORMAL,0.0
4.112,3.505,48.44,24.48,28.1,19.37,0.01884,178306.3,3.1,8000.0,20801.14,0.626,0.375,1.039,25.71,1.23,0.0,NORMAL,2.46
12.658,4.095,92.15,37.25,52.73,30.57,0.01116,182540.9,1.458,8000.0,20551.06,0.987,0.622,4.613,52.95,15.7,100.0,CRITICAL,79.82
2.432,3.549,22.57,28.58,30.38,18.66,0.03299,146649.0,1.684,8000.0,20631.75,0.994,0.609,0.777,30.76,2.18,0.0,NORMAL,0.0
12.583,3.935,70.74,34.49,48.04,30.54,0.01355,164340.2,2.614,8000.0,20657.61,0.968,0.714,2.983,47.37,12.87,68.96,HIGH,55.99
3.901,3.985,37.67,20.15,22.22,22.45,0.01972,196258.8,2.568,8000.0,20738.56,0.969,0.467,0.662,22.0,0.0,0.0,NORMAL,0.0
14.453,4.178,19.54,35.64,49.79,30.77,0.0132,148686.9,4.974,8000.0,20881.56,0.781,0.273,4.705,52.37,16.74,95.76,CRITICAL,83.22
1.573,3.232,65.53,23.5,25.23,21.53,0.03396,81035.0,2.697,8000.0,20841.45,0.753,0.28,0.615,23.5,0.0,0.0,NORMAL,0.0
2.643,3.451,58.91,27.25,30.8,22.58,0.03679,81389.3,3.02,8000.0,20654.1,0.913,0.685,0.793,27.58,0.33,0.0,NORMAL,0.0
11.733,3.672,61.06,40.4,51.14,34.36,0.01485,172419.4,4.28,8000.0,20895.71,0.621,0.267,3.519,51.29,10.89,92.58,CRITICAL,66.82
14.484,3.997,76.38,44.78,55.0,35.72,0.0123,85525.1,0.04,8000.0,20449.64,0.523,0.535,4.072,65.0,21.52,100.0,CRITICAL,75.2
1.366,3.926,52.81,29.52,32.65,22.59,0.03735,161922.0,4.708,8000.0,20942.2,0.911,0.458,0.957,32.04,2.52,0.0,NORMAL,0.0
1.421,3.275,44.28,24.17,24.72,23.01,0.01925,186915.3,1.677,8000.0,20648.3,0.367,0.384,0.696,25.97,1.8,0.0,NORMAL,0.0
1.12,4.057,76.71,29.66,30.03,20.1,0.02724,147294.8,4.128,8000.0,21037.97,0.577,0.694,0.95,31.88,2.22,0.0,NORMAL,0.0
1.342,3.612,75.11,25.88,26.78,21.89,0.0306,107952.3,2.964,8000.0,20761.7,0.901,0.257,0.845,26.67,0.79,0.0,NORMAL,0.0
1.868,4.055,57.43,24.62,25.32,23.39,0.02099,191437.5,4.267,8000.0,20835.32,0.864,0.542,0.808,24.62,0.0,0.0,NORMAL,0.0
7.071,4.084,65.79,32.69,38.9,34.58,0.01214,140699.8,1.917,8000.0,20726.92,0.576,0.425,3.062,40.11,7.43,26.84,CAUTION,21.19
4.375,4.118,55.77,27.52,31.44,18.26,0.02572,101456.5,4.268,8000.0,20918.39,0.595,0.251,1.014,29.34,1.83,0.0,NORMAL,0.0
8.108,3.986,66.34,29.31,37.49,28.03,0.02213,129510.8,4.658,8000.0,20954.13,0.572,0.655,1.481,31.98,2.67,0.0,NORMAL,0.0
3.092,3.953,45.96,21.5,24.43,24.79,0.01782,172042.6,1.492,8000.0,20621.73,0.831,0.434,1.422,22.0,0.0,0.0,NORMAL,3.77
2.77,3.71,83.25,29.47,31.13,23.6,0.02516,149051.6,3.104,8000.0,20780.93,0.508,0.361,1.415,30.24,0.78,0.0,NORMAL,0.0
4.449,3.756,73.62,25.83,28.66,22.07,0.0222,147343.6,1.043,8000.0,20613.84,0.65,0.663,1.534,27.51,1.68,0.0,NORMAL,0.0
3.061,3.717,74.17,29.76,33.94,21.7,0.02081,84970.2,3.3,8000.0,20766.93,0.492,0.301,1.358,32.56,2.8,0.0,NORMAL,0.91
4.857,3.716,98.29,27.63,31.76,23.94,0.02996,130381.2,4.645,8000.0,21023.65,0.871,0.762,2.385,29.18,1.55,0.0,NORMAL,1.98
1.848,3.411,55.4,23.84,26.31,19.03,0.01723,162451.5,3.239,8000.0,21013.68,0.982,0.346,0.946,23.84,0.0,0.0,NORMAL,0.0
12.124,3.528,95.54,37.35,49.03,35.36,0.01252,100447.1,3.674,8000.0,20816.27,0.362,0.483,4.69,51.66,14.31,92.93,CRITICAL,73.57
6.163,3.377,45.68,33.31,39.34,22.39,0.02775,197797.9,4.387,8000.0,20928.83,0.614,0.385,1.249,37.34,4.03,9.58,NORMAL,0.0
12.54,3.918,91.89,31.39,43.93,33.71,0.00527,83228.2,3.395,7964.5,20791.32,0.747,0.575,3.624,46.93,15.54,68.69,HIGH,52.73
3.336,3.62,60.94,20.19,23.87,21.78,0.01754,111517.1,1.26,8000.0,20692.6,0.533,0.746,1.274,22.0,0.0,0.0,NORMAL,6.55
2.328,3.443,61.31,27.59,29.6,23.31,0.02661,84228.0,3.31,8000.0,20874.71,0.458,0.38,1.353,29.59,2.0,0.0,NORMAL,0.0
4.666,3.999,88.71,26.89,31.06,19.61,0.02658,110703.7,4.638,8000.0,20887.31,0.352,0.357,0.822,28.72,1.82,0.0,NORMAL,3.88
6.292,4.095,95.9,27.46,33.19,27.07,0.0222,117278.5,3.616,8000.0,20727.22,0.64,0.528,2.211,29.82,2.36,0.0,NORMAL,0.0
1.441,3.205,27.96,20.01,22.94,24.52,0.02856,137615.9,1.34,8000.0,20515.54,0.53,0.337,1.289,22.0,0.0,0.0,NORMAL,0.0
3.149,4.078,21.69,22.15,25.79,18.46,0.03252,183619.1,4.498,8000.0,21009.79,0.318,0.215,1.198,22.15,0.0,0.0,NORMAL,0.0
3.775,3.227,79.94,22.13,23.9,22.39,0.01579,116033.1,4.625,8000.0,20928.98,0.681,0.673,0.755,22.13,0.0,0.0,NORMAL,0.0
3.927,3.91,42.24,22.3,26.97,20.87,0.03405,104249.3,1.184,8000.0,20561.93,0.752,0.642,1.293,23.07,0.77,0.0,NORMAL,0.0
1.273,4.077,22.44,22.8,24.53,23.72,0.03897,104479.4,1.835,8000.0,20652.27,0.97,0.638,0.665,23.52,0.72,0.0,NORMAL,0.0
1.314,3.436,30.78,25.13,24.35,20.26,0.0158,90187.6,0.561,8000.0,20601.26,0.619,0.584,0.767,25.26,0.13,0.0,NORMAL,0.0
1.51,4.144,41.37,22.23,23.12,21.28,0.02522,97821.7,4.635,8000.0,21092.13,0.553,0.732,0.827,23.14,0.91,0.0,NORMAL,0.0
6.601,3.92,79.57,28.7,35.96,29.72,0.01836,115632.5,2.89,8000.0,20732.62,0.413,0.55,1.748,32.39,3.69,0.0,NORMAL,11.87
1.271,4.184,16.63,25.86,27.47,21.83,0.02439,107668.9,1.625,8000.0,20577.79,0.813,0.566,0.694,26.51,0.65,0.0,NORMAL,0.0
4.039,3.4,55.6,29.78,34.81,23.54,0.02142,89350.9,1.362,8000.0,20663.69,0.304,0.681,0.994,32.32,2.54,0.0,NORMAL,0.97
5.108,3.328,11.58,30.08,35.87,26.46,0.01808,195074.2,2.829,8000.0,20807.82,0.95,0.719,2.27,34.23,4.15,3.11,NORMAL,7.39
7.717,3.862,72.88,30.56,39.05,30.35,0.00768,89287.3,4.845,8000.0,20942.55,0.469,0.703,3.973,38.29,7.73,18.73,NORMAL,21.46
3.019,3.715,96.7,23.74,27.03,21.45,0.01992,168501.2,2.323,8000.0,20788.12,0.388,0.605,0.597,23.85,0.11,0.0,NORMAL,0.0
6.194,4.015,42.12,32.98,38.29,24.26,0.02881,111910.6,4.904,8000.0,21017.83,0.693,0.278,1.468,37.47,4.49,16.36,NORMAL,7.97
11.656,3.629,93.07,44.49,55.0,33.95,0.00817,146351.3,3.708,8000.0,20791.09,0.726,0.445,4.681,62.01,17.52,100.0,CRITICAL,73.07
8.211,3.202,89.63,25.86,33.28,28.63,0.02063,80170.3,3.523,8000.0,20833.78,0.737,0.47,1.442,28.7,2.84,0.0,NORMAL,0.0
12.823,3.685,41.34,39.9,52.85,37.8,0.00616,80870.2,0.767,8000.0,20664.11,0.461,0.593,4.924,62.14,22.24,100.0,CRITICAL,73.53
7.762,3.866,28.74,37.33,46.45,31.8,0.00897,120436.2,0.976,8000.0,20674.1,0.876,0.625,3.086,46.64,9.31,66.09,HIGH,49.79
4.518,3.512,39.71,24.72,29.5,22.43,0.01642,164476.4,3.694,8000.0,20885.45,0.347,0.539,0.507,25.37,0.65,0.0,NORMAL,6.96
3.712,3.702,92.4,24.02,27.83,20.13,0.0329,196694.8,0.827,8000.0,20785.07,0.99,0.241,0.743,25.16,1.14,0.0,NORMAL,0.0
4.37,3.803,48.3,29.1,32.85,26.74,0.02931,134241.8,2.752,8000.0,20802.83,0.634,0.29,1.809,31.36,2.27,0.0,NORMAL,0.0
11.042,3.918,54.85,43.32,53.53,33.25,0.01459,161607.4,2.564,8000.0,20782.68,0.468,0.228,3.583,57.19,13.87,100.0,CRITICAL,75.58
4.638,3.436,23.18,28.79,33.19,23.95,0.01598,148027.3,3.621,8000.0,20838.39,0.722,0.748,1.364,30.79,2.0,0.0,NORMAL,5.2
